Adenomera hylaedactyla
Agalychnis callidryas
Agalychnis spurrelli
Allobates femoralis
Andinobates minutus
Atelopus elegans
Atelopus spurrelli
Bolitoglossa adspersa
Bolitoglossa biseriata
Bolitoglossa equatoriana
Bolitoglossa guaneae
Bolitoglossa medemi
Bolitoglossa nicefori
Centrolene geckoideum
Centrolene heloderma
Centrolene peristictum
Ceratophrys calcarata
Cochranella euknemos
Craugastor fitzingeri
Craugastor longirostris
Craugastor raniformis
Cruziohyla calcarifer
Dendrobates auratus
Dendropsophus bifurcus
Dendropsophus carnifex
Dendropsophus ebraccatus
Dendropsophus koechlini
Dendropsophus labialis
Dendropsophus leali
Dendropsophus marmoratus
Dendropsophus mathiassoni
Dendropsophus meridensis
Dendropsophus minusculus
Dendropsophus miyatai
Dendropsophus parviceps
Dendropsophus rhodopeplus
Dendropsophus subocularis
Dendropsophus triangulum
Dermophis parviceps
Engystomops pustulosus
Espadarana andina
Espadarana prosoblepon
Gastrotheca argenteovirens
Gastrotheca aureomaculata
Gastrotheca cornuta
Gastrotheca dendronastes
Gastrotheca dunni
Gastrotheca espeletia
Gastrotheca guentheri
Gastrotheca helenae
Gastrotheca nicefori
Gastrotheca orophylax
Gastrotheca trachyceps
Hemiphractus fasciatus
Hyalinobatrachium aureoguttatum
Hyalinobatrachium chirripoi
Hyalinobatrachium colymbiphyllum
Hyalinobatrachium fleischmanni
Hyalinobatrachium valerioi
Hyloscirtus lindae
Hyloscirtus simmonsi
Hypsiboas picturatus
Hypsiboas pugnax
Hypsiboas rosenbergi
Alouatta palliata
Alouatta seniculus
Aotus brumbacki
Aotus griseimembra
Aotus lemurinus
Aotus vociferans
Aotus zonalis
Ateles belzebuth
Ateles fusciceps
Ateles hybridus
Cacajao calvus
Callicebus discolor
Callicebus lugens
Callicebus ornatus
Callicebus torquatus
Callimico goeldii
Cebus albifrons
Cebus capucinus
Cebus olivaceus
Lagothrix lagotricha
Lagothrix lugens
Pithecia monachus
Saguinus inustus
Saguinus leucopus
Saguinus nigricollis
