Alcippe morrisonia hueti
Calliope obscura
Garrulax berthemyi
Phylloscopus emeiensis
Rhopophilus albosuperciliaris
Sitta przewalskii
Acipenser sinensis
Ailuropoda melanoleuca
Alectoris magna
Batrachuperus yenyuanensis
Chodsigoa hypsibia
Dahira svetsinjaevae
Emberiza siemsseni
Eospalax fontanierii
Euroscaptor longirostris
Leptobrachium boringii
Macaca tibetana
Megophrys boettgeri
Megophrys caudoprocta
Megophrys jingdongensis
Megophrys nankiangensis
Megophrys omeimontis
Megophrys shapingensis
Megophrys spinata
Megophrys wushanensis
Mesechinus hughi
Muntiacus crinifrons
Procapra przewalskii
Rana zhenhaiensis
Rhinolophus rex
Rhinopithecus bieti
Scaptochirus moschatus
Shinisaurus crocodilurus
Leptobrachium leishanense
Rhinopithecus brelichi
Amolops hongkongensis
Odorrana huanggangensis
Panthera tigris amoyensis
Paramesotriton hongkongensis
Amolops kangtingensis
Amolops lifanensis
Amolops loloensis
Batrachuperus londongensis
Megophrys binlingensis
Megophrys wawuensis
Nanorana sichuanensis
Oreolalax chuanbeiensis
SScutiger chintingensis
Cyrtodactylus tibetanus
Herpetoreas burbrinki
Liurana alpina
Liurana xizangensis
Macaca leucogenys
Megophrys medogensis
Megophrys pachyproctus
Nanorana medogensis
Phrynocephalus erythrurus
Amolops bellulus
Amolops tuberodepressus
Cuora yunnanensis
Leptolalax alpinus
Limnonectes liu
Megophrys gigantica
Nanorana maculosa
Nanorana unculuanus
Nanorana ventripunctata
Ochotona gaoligongensis
Oreolalax jingdongensis
Rhacophorus puerensis
Arachnura logio
Argyrodes argentatus
Argyrodes flavescens
Arborophila ardens
Arborophila gingica
Chrysolophus pictus
Crossoptilon auritum
Crossoptilon crossoptilon
Leptopoecile elegans
Liocichla omeiensis
Melanochlora sultaneah
